learning_rate,depth,subsample,iterations,l2_leaf_reg,CV-10-train-RMSE,CV-10-train-R2,CV-10-validation-RMSE,CV-10-validation-R2,test-RMSE,test-R2
0.3,5,0.8,200,5,0.641919276,0.997680597,3.712891256,,2.6565589,0.942354866
0.2,8,0.6,300,10,0.563529264,0.998213941,3.663741604,,2.658711649,0.942261402
0.4,8,0.6,300,10,0.201503838,0.999770594,3.480334795,,2.659024291,0.942247822
0.4,8,0.6,400,10,0.14094529,0.999887724,3.475767325,,2.660324054,0.942191348
0.4,3,0.6,300,5,0.927751714,0.99515449,3.833398672,,2.660924402,0.942165254
0.2,5,0.7,400,3,0.30843268,0.99946422,3.61089124,,2.661797278,0.942127305
0.2,5,0.8,300,10,1.117815224,0.992986499,3.977858168,,2.665103659,0.941983441
0.3,7,0.9,300,10,0.410589368,0.999048252,3.779422489,,2.665485348,0.941966822
0.2,5,0.7,300,3,0.441722083,0.998901503,3.667282766,,2.666591345,0.941918652
0.2,7,0.6,300,3,0.210202098,0.999750816,3.622854974,,2.6688909,0.941818435
0.1,5,0.8,400,5,0.989471382,0.99450431,3.658756556,,2.674286737,0.94158294
0.4,7,0.8,100,5,0.602480855,0.997953066,3.79908086,,2.674381152,0.941578815
0.2,7,0.6,400,3,0.147902172,0.999876422,3.602607359,,2.679788809,0.941342318
0.1,5,0.6,300,3,1.088033726,0.993355785,3.948878738,,2.681157718,0.941282375
0.2,8,0.8,200,5,0.508990163,0.99854274,3.616962946,,2.683687899,0.9411715
0.2,5,0.6,400,5,0.465556354,0.998781452,3.552250055,,2.688907637,0.940942436
0.4,8,0.6,200,10,0.375727326,0.999201681,3.545210847,,2.690870346,0.940856189
0.4,5,0.8,100,10,1.762432382,0.982557517,4.566499098,,2.69233644,0.940791724
0.3,7,0.7,200,10,0.725503826,0.997038885,3.930408567,,2.692541896,0.940782687
0.2,5,0.8,200,5,1.020682925,0.994144844,3.75888673,,2.693684321,0.940732426
0.2,7,0.6,400,10,0.467342839,0.998772264,3.478467657,,2.698670211,0.940512819
0.3,8,0.7,200,10,0.576210302,0.998133113,3.616307207,,2.702605953,0.94033918
0.2,5,0.6,300,5,0.667957405,0.997494218,3.66686358,,2.703791019,0.940286848
0.1,7,0.9,200,5,1.636959685,0.984963846,4.3113864,,2.703937772,0.940280365
0.3,7,0.6,200,10,0.702907405,0.997217165,3.680867168,,2.708668404,0.940071219
0.3,6,0.7,100,5,1.160227955,0.992419975,4.388304902,,2.711181039,0.939959985
0.1,7,0.9,100,1,1.506741459,0.987248391,4.104803774,,2.712537296,0.9398999
0.2,5,0.8,400,3,0.271289267,0.999585409,3.679267297,,2.71379906,0.939843975
0.2,5,0.8,300,3,0.398448739,0.999106489,3.719702414,,2.714473273,0.939814081
