learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2
0.2,7,0.8,100,1,1,0.122998899,0.999913736,4.092441156,,2.651008901,0.947511064
0.4,5,0.8,400,5,0.6,0.192010576,0.999790652,3.478542556,,2.651074302,0.947508474
0.4,5,0.6,400,10,0.8,0.395823614,0.999112629,3.431473509,,2.65505068,0.94735089
0.4,5,0.8,300,5,0.6,0.252594772,0.999637798,3.456254646,,2.665880997,0.946920488
0.3,6,0.9,200,10,0.8,0.470043422,0.998752297,3.484303418,,2.67246177,0.94665811
0.4,8,0.8,200,5,0.6,0.302226143,0.999483148,3.526438986,,2.674399998,0.946580708
0.4,5,0.6,300,10,0.8,0.560455663,0.998225542,3.399298945,,2.676950381,0.946478775
0.3,7,0.8,200,5,0.6,0.47783813,0.998708286,3.533257041,,2.681793845,0.946284926
0.2,8,0.8,400,10,1,0.120020111,0.999917857,3.610877412,,2.689478131,0.945976659
0.2,6,0.6,400,3,0.8,0.198672419,0.999776059,3.542899441,,2.694305139,0.945782566
0.2,8,0.8,300,10,1,0.16172754,0.999852073,3.614049475,,2.700336895,0.94553954
0.1,7,0.9,400,1,1,0.112406171,0.99992665,4.023780912,,2.708166535,0.945223266
0.1,7,0.9,300,1,1,0.112717688,0.999926273,4.024945021,,2.708363534,0.945215296
0.1,6,0.8,400,3,1,0.128423002,0.99990622,3.623126879,,2.70843489,0.94521241
0.2,6,0.6,300,3,0.8,0.2955614,0.999505253,3.51938633,,2.708851928,0.945195536
0.1,7,0.9,200,1,1,0.114445987,0.999924646,4.022855136,,2.711623943,0.945083314
0.4,7,0.9,300,5,1,0.112701117,0.999926271,3.834711616,,2.71795061,0.944826756
0.4,7,0.9,200,5,1,0.112445443,0.999926632,3.832585121,,2.718163817,0.944818099
0.4,7,0.9,400,5,1,0.112398482,0.999926661,3.834609245,,2.71821595,0.944815983
0.1,6,0.8,300,3,1,0.185612184,0.999805318,3.627919562,,2.725836082,0.944506148
0.4,5,0.8,200,5,0.6,0.460226603,0.998800771,3.408857005,,2.728124864,0.944412917
0.4,5,0.6,200,10,0.8,0.85959735,0.995830895,3.361383902,,2.728501742,0.944397557
0.2,6,0.9,400,10,0.8,0.291287586,0.99952043,3.462681454,,2.732363918,0.944240036
0.1,7,0.8,400,5,1,0.147813847,0.999876375,3.715894509,,2.735164859,0.944125659
0.2,8,0.9,400,10,0.8,0.207960299,0.999755355,3.426340473,,2.740040703,0.943926272
0.4,7,0.9,100,5,1,0.131993651,0.999900944,3.831948978,,2.741985993,0.943846625
0.2,7,0.9,400,10,0.8,0.234441744,0.999689403,3.439813073,,2.749005527,0.94355875
0.4,8,0.9,400,3,0.8,0.112425772,0.999926629,3.963395873,,2.756077768,0.943267968
0.4,8,0.9,200,3,0.8,0.112755273,0.999926367,3.954609031,,2.756197441,0.943263041
0.4,8,0.9,300,3,0.8,0.112652792,0.999926338,3.963017079,,2.756753134,0.943240161
0.2,7,0.8,400,10,0.8,0.30877857,0.999461581,3.402879768,,2.764894935,0.942904397
0.4,8,0.6,400,10,1,0.119123145,0.999918819,3.451308635,,2.77270006,0.942581587
0.4,7,0.9,100,3,0.8,0.184837223,0.999806366,3.770778818,,2.773186665,0.942561432
0.4,8,0.6,300,10,1,0.149226768,0.999873876,3.426088475,,2.773471008,0.942549652
0.1,7,0.8,400,1,1,0.112705722,0.999926254,3.882287746,,2.773980925,0.942528525
0.1,7,0.8,300,1,1,0.112821675,0.999926224,3.877152138,,2.774807604,0.942494266
0.3,7,0.6,400,5,1,0.114629936,0.999924096,3.664614895,,2.776073696,0.942441776
0.1,7,0.8,200,1,1,0.121407529,0.999915818,3.878057873,,2.776340107,0.942430728
0.3,7,0.6,200,5,1,0.17661226,0.999823533,3.623173641,,2.777382789,0.942387479
0.3,7,0.6,300,5,1,0.120209277,0.999917564,3.640495646,,2.777833003,0.942368799
0.4,7,0.9,200,3,0.8,0.113351036,0.999925725,3.777851984,,2.778798872,0.942328715
0.4,7,0.8,400,5,0.6,0.131831307,0.99990112,3.458478473,,2.779141892,0.942314476
0.4,7,0.9,400,3,0.8,0.112430904,0.999926625,3.7885275,,2.779345942,0.942306005
0.4,7,0.9,300,3,0.8,0.112670178,0.999926325,3.787942257,,2.780145601,0.942272801
