learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2,
0.1,8,0.7,200,10,0.6,0.96023339,0.900256758,1.870408616,,0.203665206,0.971681177,
0.3,7,0.7,300,10,0.8,0.079274299,0.999304936,2.385339538,,0.203792089,0.971645881,
0.1,3,0.6,200,10,1,0.928014072,0.906929981,1.752444199,,0.204448349,0.971462973,
0.3,8,0.7,300,10,0.8,0.079400504,0.999302977,2.383235166,,0.204578777,0.971426551,
0.1,6,0.8,400,10,0.6,0.413365694,0.981405487,2.159757012,,0.20464844,0.971407088,
0.1,7,0.8,400,10,0.6,0.41322314,0.981416575,2.158944303,,0.204658826,0.971404186,
0.1,8,0.8,400,10,0.6,0.413399304,0.981398619,2.159892077,,0.204658826,0.971404186,
0.3,6,0.6,100,5,0.6,0.447831833,0.977832941,2.057607614,,0.205118058,0.97127571,
0.3,7,0.6,100,5,0.6,0.448128487,0.977796269,2.057952874,,0.205118058,0.97127571,
0.3,8,0.6,100,5,0.6,0.448128487,0.977796269,2.057952874,,0.205118058,0.97127571,
0.3,6,0.7,300,10,0.8,0.07919821,0.999307623,2.375628659,,0.205509954,0.971165844,
0.1,3,0.7,300,10,0.8,0.621267767,0.958203069,2.014224613,,0.205856782,0.971068439,
0.3,5,0.6,100,5,0.6,0.447752213,0.977840442,2.088922069,,0.206195703,0.970973095,
0.1,6,0.7,200,3,0.6,0.349728278,0.986612912,2.110666871,,0.206282449,0.970948667,
0.1,7,0.7,200,3,0.6,0.349694733,0.986615084,2.110870875,,0.20633238,0.970934601,
0.1,8,0.7,200,3,0.6,0.349693714,0.986615168,2.110870577,,0.20633238,0.970934601,
0.3,4,0.7,300,10,0.8,0.082650005,0.999247987,2.34654464,,0.206746778,0.970817734,
0.1,5,0.8,300,10,0.6,0.583249248,0.963115554,2.059938028,,0.207197541,0.970690345,
0.1,5,0.7,200,3,0.6,0.350432542,0.98655766,2.114522429,,0.207285755,0.970665383,
0.1,6,0.8,300,10,0.6,0.58254076,0.963205182,2.056346133,,0.208357844,0.970361158,
0.1,7,0.8,300,10,0.6,0.58254507,0.963199452,2.055499717,,0.208407149,0.97034713,
0.1,8,0.8,300,10,0.6,0.58254858,0.963199054,2.056431576,,0.208407149,0.97034713,
0.1,4,0.6,200,10,0.6,1.06886562,0.876433559,1.769140801,,0.20907196,0.970157645,
0.1,5,0.6,200,10,0.6,1.067986846,0.876634613,1.769503957,,0.209151708,0.970134874,
0.1,6,0.6,200,10,0.6,1.067886735,0.876654635,1.768970809,,0.209326516,0.970084931,
0.1,7,0.6,200,10,0.6,1.067886735,0.876654635,1.768970809,,0.209326516,0.970084931,
0.1,8,0.6,200,10,0.6,1.067886735,0.876654635,1.768970809,,0.209326516,0.970084931,
0.1,3,0.6,200,5,0.6,0.762620918,0.936838735,1.915923646,,0.209945639,0.96990771,
0.2,4,0.6,100,10,0.6,1.036916282,0.883436611,1.710910923,,0.210038292,0.969881144,
0.3,4,0.6,100,5,0.6,0.452248267,0.977331975,2.071172892,,0.210286211,0.96981,
0.1,4,0.7,200,3,0.6,0.360699543,0.985753099,2.114199528,,0.210337981,0.969795134,
0.2,3,0.7,200,10,0.6,0.590950623,0.961933985,1.980585912,,0.210636154,0.969709437,
0.2,5,0.6,100,10,0.6,1.035623173,0.883728868,1.705530307,,0.211068462,0.969584973,
0.1,4,0.7,300,10,0.8,0.590220098,0.962305127,2.059776092,,0.211772144,0.969381834,
0.1,4,0.6,200,5,0.6,0.730158095,0.9420663,1.943526507,,0.21179063,0.969376488,
0.1,3,0.6,300,10,0.8,0.767205287,0.936286948,1.889396803,,0.21180383,0.96937267,
0.2,6,0.6,100,10,0.6,1.035750703,0.883702333,1.705512336,,0.211806671,0.969371849,
0.1,4,0.7,200,10,0.6,0.961528598,0.900004169,1.865453011,,0.211912364,0.969341274,
0.1,3,0.7,200,10,0.6,0.981971802,0.895755803,1.843655235,,0.211970524,0.969324443,
0.2,7,0.6,100,10,0.6,1.035750703,0.883702333,1.705512336,,0.212047093,0.969302277,
0.2,8,0.6,100,10,0.6,1.035750703,0.883702333,1.705512336,,0.212047093,0.969302277,
0.1,6,0.6,200,10,1,0.91013341,0.910452739,1.753337346,,0.212275466,0.969236119,
0.1,5,0.6,200,10,1,0.910547663,0.910375023,1.746749781,,0.212641778,0.969129853,
0.1,7,0.7,400,10,0.6,0.560884549,0.96577151,2.033364275,,0.212702921,0.969112097,
0.1,8,0.7,400,10,0.6,0.560823417,0.965778091,2.034671077,,0.212773671,0.969091546,
0.1,6,0.7,300,10,0.8,0.586417682,0.962789346,2.058163458,,0.212932544,0.969045371,
0.1,7,0.7,300,10,0.8,0.586344284,0.962800306,2.055604899,,0.213028504,0.969017465,
0.1,8,0.7,300,10,0.8,0.586344245,0.962800311,2.055605138,,0.213028504,0.969017465,
0.2,6,0.7,200,10,0.8,0.413021423,0.981430581,2.109599242,,0.213182251,0.968972727,
0.2,7,0.7,200,10,0.8,0.412620249,0.981463715,2.107617313,,0.213386275,0.96891331,
0.2,8,0.7,200,10,0.8,0.412623346,0.981463443,2.108803326,,0.213386275,0.96891331,
0.1,6,0.7,400,10,0.6,0.560654106,0.965799369,2.033605376,,0.213388523,0.968912655,
0.1,7,0.6,200,10,1,0.910129404,0.910453507,1.753353916,,0.213547527,0.968866309,
0.1,8,0.6,200,10,1,0.910129404,0.910453507,1.753353916,,0.213547527,0.968866309,
0.2,3,0.7,100,10,0.8,0.833266061,0.924845307,1.862944619,,0.214327828,0.968638369,
