PI-content,CF-content,Sizing agent-content,GP-content,TS_pred,TC_pred,Pareto_optimal
0.7,0.2,0.02,0.1,70.73844,12.646051,FALSE
0.7,0.2,0.025,0.1,70.73844,12.646051,FALSE
0.7,0.2,0.03,0.1,66.37255,11.968691,FALSE
0.7,0.2,0.035,0.1,66.37255,11.968691,FALSE
0.7,0.2,0.04,0.1,64.53599,10.506103,FALSE
0.7,0.2,0.045,0.1,64.53599,10.506103,FALSE
0.7,0.2,0.05,0.1,64.26296,10.762219,FALSE
0.7,0.2,0.055,0.1,64.26296,10.762219,FALSE
0.72,0.08,0,0.2,54.65016,7.7254868,FALSE
0.72,0.08,0.005,0.2,54.65016,7.7254868,FALSE
0.72,0.08,0.01,0.2,64.03911,9.698029,FALSE
0.72,0.08,0.015,0.2,64.03911,9.698029,FALSE
0.72,0.08,0.02,0.2,67.709496,12.502571,FALSE
0.72,0.08,0.025,0.2,67.709496,12.502571,FALSE
0.72,0.08,0.03,0.2,64.77307,12.542958,FALSE
0.72,0.08,0.035,0.2,64.77307,12.542958,FALSE
0.72,0.08,0.04,0.2,61.40883,11.253743,FALSE
0.72,0.08,0.045,0.2,61.40883,11.253743,FALSE
0.72,0.08,0.05,0.2,59.769722,11.197866,FALSE
0.72,0.08,0.055,0.2,59.769722,11.197866,FALSE
0.72,0.13,0,0.15,53.44772,7.5041065,FALSE
0.72,0.13,0.005,0.15,53.44772,7.5041065,FALSE
0.72,0.13,0.01,0.15,63.52424,9.657023,FALSE
0.72,0.13,0.015,0.15,63.52424,9.657023,FALSE
0.72,0.13,0.02,0.15,67.31194,13.195682,FALSE
0.72,0.13,0.025,0.15,67.31194,13.195682,FALSE
0.72,0.13,0.03,0.15,63.29203,13.4941025,FALSE
0.72,0.13,0.035,0.15,63.29203,13.4941025,FALSE
0.72,0.13,0.04,0.15,61.737442,12.449617,FALSE
0.72,0.13,0.045,0.15,61.737442,12.449617,FALSE
0.72,0.13,0.05,0.15,61.51066,12.738021,FALSE
0.72,0.13,0.055,0.15,61.51066,12.738021,FALSE
0.72,0.14,0,0.14,52.969242,7.2980175,FALSE
0.72,0.14,0.005,0.14,52.969242,7.2980175,FALSE
0.72,0.14,0.01,0.14,63.045734,9.427636,FALSE
0.72,0.14,0.015,0.14,63.045734,9.427636,FALSE
0.72,0.14,0.02,0.14,66.833466,13.077242,FALSE
0.72,0.14,0.025,0.14,66.833466,13.077242,FALSE
0.72,0.14,0.03,0.14,62.81353,13.486347,FALSE
0.72,0.14,0.035,0.14,62.81353,13.486347,FALSE
0.72,0.14,0.04,0.14,61.258957,12.38574,FALSE
0.72,0.14,0.045,0.14,61.258957,12.38574,FALSE
0.72,0.14,0.05,0.14,61.03218,12.674144,FALSE
0.72,0.14,0.055,0.14,61.03218,12.674144,FALSE
0.72,0.15,0,0.13,55.486286,7.481278,FALSE
0.72,0.15,0.005,0.13,55.486286,7.481278,FALSE
0.72,0.15,0.01,0.13,66.261055,9.610898,FALSE
0.72,0.15,0.015,0.13,66.261055,9.610898,FALSE
0.72,0.15,0.02,0.13,70.49873,13.394398,FALSE
0.72,0.15,0.025,0.13,70.49873,13.394398,FALSE
0.72,0.15,0.04,0.13,64.36842,12.702897,FALSE
0.72,0.15,0.045,0.13,64.36842,12.702897,FALSE
0.72,0.15,0.05,0.13,64.14685,12.9913,FALSE
0.72,0.15,0.055,0.13,64.14685,12.9913,FALSE
0.72,0.2,0,0.08,57.199757,7.032812,FALSE
0.72,0.2,0.005,0.08,57.199757,7.032812,FALSE
0.72,0.2,0.01,0.08,66.53627,8.269853,FALSE
0.72,0.2,0.015,0.08,66.53627,8.269853,FALSE
0.72,0.2,0.02,0.08,70.78458,11.068203,FALSE
0.72,0.2,0.025,0.08,70.78458,11.068203,FALSE
0.72,0.2,0.03,0.08,66.468796,11.294035,FALSE
0.72,0.2,0.035,0.08,66.468796,11.294035,FALSE
0.72,0.2,0.04,0.08,64.62713,9.840667,FALSE
0.72,0.2,0.045,0.08,64.62713,9.840667,FALSE
0.72,0.2,0.05,0.08,64.367325,10.089971,FALSE
0.72,0.2,0.055,0.08,64.367325,10.089971,FALSE
0.74,0.06,0,0.2,43.155586,6.9382596,FALSE
0.74,0.06,0.005,0.2,43.155586,6.9382596,FALSE
0.74,0.06,0.01,0.2,55.514214,8.774553,FALSE
