learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2,
0.3,6,0.6,100,10,1,2.908741656,0.965964357,8.679499502,,3.363309612,0.929402671,
0.3,7,0.6,100,10,1,2.907369575,0.965995635,8.697451944,,3.363309612,0.929402671,
0.3,8,0.6,100,10,1,2.907350923,0.965996058,8.691265697,,3.363309612,0.929402671,
0.4,4,0.6,100,10,1,1.939626929,0.984801563,8.674978962,,3.365511073,0.929310221,
0.01,4,0.8,200,1,0.6,6.597838745,0.825030416,9.515656109,,3.368109449,0.929201026,
0.2,5,0.6,100,10,1,4.597320906,0.915155865,8.774958611,,3.372639082,0.929010468,
0.01,5,0.6,200,1,0.8,7.273872782,0.787273446,9.152909508,,3.37454269,0.928930309,
0.4,5,0.6,200,3,1,0.003514858,0.999999929,8.695943117,,3.374565516,0.928929347,
0.1,6,0.6,200,10,0.8,4.611310843,0.914352871,8.764360189,,3.375277506,0.928899354,
0.1,5,0.6,200,10,0.8,4.62434911,0.91387672,8.773253441,,3.376087208,0.928865237,
0.4,5,0.6,300,3,1,0.001102896,0.999999995,8.695356369,,3.376518273,0.928847071,
0.4,5,0.6,400,3,1,0.000965373,0.999999996,8.695354939,,3.376664603,0.928840903,
0.01,4,0.7,200,1,0.6,7.057010924,0.799799094,9.539201488,,3.377000952,0.928826726,
0.1,7,0.6,200,10,0.8,4.610982679,0.914364095,8.764330864,,3.37755651,0.928803307,
0.2,4,0.6,100,10,1,4.608200191,0.914745332,8.847771168,,3.379525945,0.928720254,
0.2,6,0.9,200,3,1,0.003869696,0.999999931,8.757532597,,3.388498206,0.928341272,
0.2,6,0.9,300,3,1,0.001353077,0.999999992,8.757462502,,3.388538311,0.928339576,
0.2,6,0.9,400,3,1,0.001213878,0.999999994,8.757551193,,3.388818481,0.928327725,
0.2,4,0.6,200,10,1,1.894898678,0.985312869,8.997259016,,3.396978243,0.927982158,
0.1,4,0.8,100,10,0.8,6.060809319,0.85258566,9.54716301,,3.399518805,0.927874395,
0.2,7,0.6,100,10,1,4.591859599,0.915361416,8.766498327,,3.401969649,0.927770361,
0.2,8,0.6,100,10,1,4.591857905,0.915361483,8.765072346,,3.401969649,0.927770361,
0.01,3,0.6,200,1,0.8,7.477642211,0.77515163,9.177946558,,3.404384026,0.927667802,
0.01,3,0.8,400,5,0.8,7.75426286,0.758852364,9.509620419,,3.40573639,0.927610324,
0.01,4,0.6,200,1,0.8,7.312189563,0.785014215,9.177675238,,3.406408365,0.927581755,
0.1,7,0.8,100,5,0.8,3.450516107,0.952165293,9.412462234,,3.407217554,0.927547345,
0.01,4,0.6,300,3,0.8,8.387334661,0.717700091,9.333928099,,3.408677114,0.927485258,
0.1,8,0.8,100,5,0.8,3.450187977,0.952173982,9.409624577,,3.409029863,0.927470249,
0.1,6,0.8,100,5,0.8,3.453049113,0.952095244,9.405275345,,3.410397247,0.927412053,
0.1,5,0.8,100,10,0.8,6.040766492,0.853562718,9.464758158,,3.413262684,0.927290024,
0.1,6,0.8,100,10,0.8,6.035604175,0.85380998,9.46202445,,3.413374147,0.927285275,
0.1,7,0.8,100,10,0.8,6.035523933,0.853813933,9.462088585,,3.413456511,0.927281766,
0.1,8,0.8,100,10,0.8,6.035523659,0.853813946,9.462088108,,3.413456511,0.927281766,
0.2,6,0.8,100,10,0.8,3.02204829,0.96322558,9.516421556,,3.413865165,0.927264354,
0.2,8,0.8,100,10,0.8,3.019965986,0.963276494,9.511451006,,3.414413623,0.927240981,
0.2,7,0.8,100,10,0.8,3.020272574,0.963267647,9.507378817,,3.414731911,0.927227415,
0.01,5,0.6,300,3,0.8,8.381259991,0.718113802,9.29976367,,3.415780148,0.92718273,
0.01,6,0.6,300,3,0.8,8.380923932,0.718135994,9.298329344,,3.416628547,0.927146553,
0.01,7,0.6,300,3,0.8,8.380832368,0.718141996,9.298690786,,3.416628547,0.927146553,
0.01,8,0.6,300,3,0.8,8.380832368,0.718141996,9.298690786,,3.416628547,0.927146553,
0.01,3,0.7,400,5,0.6,8.382412337,0.717988617,9.485513668,,3.417619299,0.927104295,
0.1,6,0.7,100,10,0.8,6.725003971,0.818527253,9.427731152,,3.417637623,0.927103513,
0.2,5,0.6,200,10,1,1.872883082,0.985674338,8.87065506,,3.41800505,0.927087838,
0.1,5,0.7,100,10,0.8,6.72754087,0.818396291,9.441393013,,3.418663925,0.927059726,
0.1,7,0.7,100,10,0.8,6.724990489,0.818527905,9.427672739,,3.418704098,0.927058011,
0.1,8,0.7,100,10,0.8,6.7249924,0.818527786,9.427666779,,3.418764119,0.92705545,
0.2,3,0.6,200,10,1,2.046476897,0.982917142,8.938124056,,3.418928935,0.927048417,
0.01,3,0.6,300,3,0.8,8.451857233,0.713302973,9.355869999,,3.419609813,0.927019357,
0.01,3,0.7,200,1,0.6,7.224651904,0.790108224,9.494137516,,3.419771478,0.927012457,
0.01,3,0.7,300,3,0.6,8.125435082,0.734927909,9.498215904,,3.421567372,0.926935778,
0.1,4,0.7,100,10,0.8,6.726688681,0.81845131,9.445334549,,3.423771949,0.926841594,
0.2,5,0.9,100,3,1,0.240420888,0.999753106,8.747000933,,3.424263753,0.926820575,
0.01,3,0.8,200,1,0.6,6.793507256,0.814447583,9.51101409,,3.428561463,0.926636768,
0.4,4,0.6,200,3,1,0.006220854,0.999999796,8.58673501,,3.433352509,0.926431591,
0.1,6,0.8,200,10,0.8,3.014634064,0.963406344,9.128056765,,3.433894433,0.926408365,
0.4,4,0.6,300,3,1,0.00121701,0.999999994,8.58693099,,3.436349177,0.926303112,
0.4,4,0.6,400,3,1,0.00104524,0.999999995,8.586990118,,3.43647515,0.926297709,
0.1,4,0.6,200,10,0.8,4.62780708,0.913747731,8.744458199,,3.437811677,0.926240368,
0.2,6,0.6,100,10,1,4.592266318,0.915347008,8.767310381,,3.439520676,0.926167016,
